Jugador,walkingRhythm_ritmo,joggingRhythm_ritmo,lowSpeedRunningRhythm_ritmo,highSpeedRunningRhythm_ritmo,sprintRhythm_ritmo,veryHighSpeedRhythm_ritmo,acc_dist_3_4_aceleraciones,acc_dist_5_6_aceleraciones,max_acceleration_aceleraciones,num_efforts_0_1_aceleraciones,num_efforts_1_2_aceleraciones,num_efforts_2_3_aceleraciones,num_efforts_3_4_aceleraciones,num_efforts_5_6_aceleraciones,num_efforts_max_acc_aceleraciones,walkingDistance_umbral_est,joggingDistance_umbral_est,distance_above_95_percent_umbral_rel,maxSpeed_umbral_rel,esfuerzos_above_95_percent_umbral_rel
E. Dier,37.50599011084555,51.23881883727351,14.2087901566871,3.293123781052225,0.7132267396950119,0.0842083755349101,32.49333333333333,0.0591666666666666,7.979166666666667,1.5833333333333333,1.1666666666666667,0.1666666666666666,1.8333333333333333,0.0,1.9166666666666667,3646.366986677489,4963.687913682198,20.139461759408785,30.219000000000005,2.0
M. Senesi,35.8337679751276,47.753672832006345,11.772574252462856,2.761745027521989,0.6017254511499868,0.0686462867694417,39.4275,0.2299999999999999,8.1025,1.375,1.125,0.75,2.625,0.25,1.875,3436.6474376416827,4566.606259861304,16.01800056603172,30.141,2.0
Aymeric Laporte,41.860502546721776,43.78985377044444,13.279610403536408,3.736071377355369,0.9521911923653636,0.1187062408825038,40.54,0.0,7.779999999999999,2.0,0.0,0.5,0.5,0.0,2.0,4034.030783985952,4230.6925138135575,29.594900325468195,29.286,3.0
B. Kamara,35.92044721090651,53.6554820325649,15.693761329635258,4.220800882343066,0.906851487317216,0.0671368953347463,30.21166666666667,0.37,7.886666666666667,1.8333333333333333,0.8333333333333334,0.1666666666666666,2.333333333333333,0.3333333333333333,2.0,3346.437248688199,4993.1622927633725,22.9758600001754,30.018,3.1666666666666665
D. Rice,37.36644925865836,54.251665996950805,19.1678353772237,6.8316049625904505,1.768359465818059,0.2161537475810648,48.927692307692304,3.3853846153846154,7.809999999999999,1.4615384615384617,0.7692307692307693,1.0,3.1538461538461537,0.0,1.9230769230769231,3651.8482970134696,5295.137862970976,25.303267262129225,31.15938461538462,3.3076923076923075
Diego Carlos,40.25765781030647,39.826040308468365,9.792296082405542,3.405452118649462,0.7197396268884052,0.0687750631262207,37.925,0.0,8.15,1.5,1.0,1.0,2.0,0.0,2.0,3971.7472464277366,3928.3558897328594,14.020944666440828,30.384,2.5
E. Martinez,40.81586958438496,8.760072651912791,1.0941921436444155,0.1791532108681709,0.0202993189964142,0.0,5.770833333333333,7.1225,8.141666666666666,2.1666666666666665,0.5,0.3333333333333333,0.3333333333333333,0.0,2.0,3969.842824473204,851.5009203721302,9.554613050769587,22.806,1.5
P. Aubameyang,38.88004182596295,37.46259910393671,14.158233538190132,7.043999847657513,2.074509769670033,0.3780316369254474,81.53,6.165,7.745,0.5,1.0,0.0,5.5,1.0,1.5,3020.499996494141,2901.3068667877187,13.626333494592174,31.5,1.5
A. Cresswell,40.640645895019325,44.85964787674641,15.0527728893042,6.253199671870646,2.314504383618801,0.0412099774406282,56.70166666666668,0.1466666666666667,7.851666666666667,1.8333333333333333,0.6666666666666666,0.3333333333333333,3.5,0.1666666666666666,1.9166666666666667,3871.9533806143777,4263.259444448268,38.70945291749096,29.676,4.666666666666667
O. Edouard,35.27828398132182,48.98616693652055,14.00625375799776,6.340327074088204,1.6447339295242704,0.1975798616232014,44.5625,0.3,10.6975,0.5,1.25,0.375,1.875,0.125,2.125,2846.588602882568,3949.435205154537,25.1206089655946,31.05,2.25
L. Cook,34.44445431521711,53.77991909100809,18.77245861417622,6.656051630227555,1.5855712067559449,0.1128262439863649,53.79727272727273,0.6918181818181818,8.047272727272727,1.3636363636363635,0.8181818181818182,0.6363636363636364,3.090909090909091,0.2727272727272727,2.090909090909091,3248.629120198444,5038.112392422086,17.57656609796843,30.85527272727273,2.0
O. Skipp,33.8446426186879,49.56884917321956,20.778833438978115,11.482233089004955,4.339081611185134,0.3287229174184018,66.33,0.0,7.68,2.0,1.0,0.0,6.0,0.0,2.0,2333.2496621323444,3417.276462001757,8.922647291593124,32.868,1.0
J. Justin,37.53887295507775,55.166409580875694,15.757368387705895,6.7131239838261365,2.2729311897454445,0.463765823475074,74.90230769230769,6.156153846153847,7.923846153846153,1.3846153846153846,0.9230769230769232,0.9230769230769232,5.307692307692308,0.4615384615384615,1.7692307692307692,3585.2675853185137,5262.023700062836,30.936142346299764,32.48307692307692,3.076923076923077
Cristiano Ronaldo,41.60441976652828,38.165351016204426,11.4953060733283,5.948135202080972,2.3894399423939072,0.2398497547011535,54.33,0.395,7.13,0.25,1.25,1.0,3.0,0.25,1.75,3490.0733180071247,3184.272585659966,29.021568859208184,31.212000000000003,3.75
J. Colback,39.95365437324846,48.61690787762777,15.768893166820405,6.51684256701029,2.577435535571627,0.0887517522470529,67.04,0.0,8.2,2.0,0.0,0.0,5.0,0.0,2.0,3818.1043907555336,4645.993773145701,19.933909869007795,30.996,4.0
J. Lingard,35.86846573622581,53.27266192186907,18.94711793655653,6.819038523370927,1.910915936992184,0.1569192802013797,45.65,0.22,7.938571428571429,1.2857142857142858,0.5714285714285714,0.4285714285714285,2.571428571428572,0.1428571428571428,1.7142857142857142,2985.8847267052192,4366.966404438473,31.172840877210135,30.229714285714287,3.0
E. Haaland,39.50643853589452,48.14343959392457,16.52012145389998,6.923351073183425,2.470389210191564,0.6022416404759653,71.44454545454545,0.5827272727272728,8.485454545454546,0.9090909090909092,0.5454545454545454,1.181818181818182,4.454545454545454,0.6363636363636364,2.1818181818181817,3524.7668974341937,4309.045316548104,21.04105579455405,33.68290909090909,2.5454545454545454
I. Meslier,42.3063354515431,9.984325702260112,1.1504061607392315,0.2315604526106502,0.0398192704080235,0.0,8.685,0.0,8.181666666666667,2.083333333333333,0.6666666666666666,0.0833333333333333,1.0,0.0,2.1666666666666665,4173.664684680923,984.8663804177968,9.775717517612458,24.321,1.5833333333333333
Mohamed Elneny,34.13330639172551,57.23841662161741,12.602739815252058,2.421673382843548,0.6687293583174073,0.0,9.28,0.0,7.99,2.0,1.0,0.0,0.0,0.0,2.0,3368.3884524234463,5648.477746943278,37.47905265076803,28.692,1.0
R. Nelson,34.29495692965268,52.28673108552416,21.18323837938805,8.057610826184444,2.5042204215061954,0.3192809918974762,52.39,0.0,7.27,2.0,1.0,0.0,2.0,0.0,2.0,2362.6938994068723,3602.2071935853783,31.9437669563263,30.996,3.0
R. Yates,36.91376088227597,53.09306348503142,16.82691836377188,5.344189771349219,1.0966952975904218,0.0487402942479483,68.57444444444444,0.1822222222222222,7.831111111111111,1.6666666666666667,1.0,0.2222222222222222,4.444444444444445,0.1111111111111111,1.8888888888888888,3397.32188489128,4846.186772223381,22.68604837262163,29.608,2.7777777777777777
J. Zemura,37.7215186892194,44.39123274429125,14.173534075335995,5.950897864018148,2.0913582567758806,0.2918430918702954,82.4342857142857,0.0828571428571428,8.12,1.4285714285714286,1.0,0.4285714285714285,4.0,0.1428571428571428,2.0,3570.463726791858,4202.782670637364,27.5722607171541,31.428000000000004,3.4285714285714284
A. Onana,38.94590674881401,50.6625456883378,17.390661901376866,4.84119279079244,1.2881908005319025,0.1843925214940748,55.008,0.6900000000000001,8.283,0.8,0.8,0.7,3.1,0.2,1.6,3561.332016927573,4648.084433320337,16.417077593267457,31.2408,1.6
