Jugador,partido,walkingRhythm_ritmo,joggingRhythm_ritmo,lowSpeedRunningRhythm_ritmo,highSpeedRunningRhythm_ritmo,sprintRhythm_ritmo,veryHighSpeedRhythm_ritmo,acc_dist_0_1,acc_dist_1_2,acc_dist_2_3,acc_dist_3_4_aceleraciones,acc_dist_5_6_aceleraciones,max_acceleration_aceleraciones,num_efforts_0_1_aceleraciones,num_efforts_1_2_aceleraciones,num_efforts_2_3_aceleraciones,num_efforts_3_4_aceleraciones,num_efforts_5_6_aceleraciones,num_efforts_max_acc_aceleraciones,totalDistance,walkingDistance_umbral_est,joggingDistance_umbral_est,lowSpeedRunningDistance,highSpeedRunningDistance,sprintDistance,veryHighSpeedDistance,avgSpeed,maxSpeed,distance_above_60_percent,distance_above_75_percent,distance_above_85_percent,distance_above_90_percent,distance_above_95_percent_umbral_rel,maxSpeed_umbral_rel,esfuerzos_high_speed_running,esfuerzos_sprint,esfuerzos_velocidad_muy_alta,esfuerzos_above_75_percent,esfuerzos_above_85_percent,esfuerzos_above_90_percent,esfuerzos_above_95_percent_umbral_rel,esfuerzos_ponderados,anómalo
H. Reed,Arsenal - Fulham,33.80817552781601,50.01183969557948,22.916329578692284,8.564421183980016,1.4055625733680936,0.0,9049.1,2024.87,436.3,88.49,0.0,7.95,1,1,1,2,0,2,11516.969523340447,3336.30345500331,4935.335047292101,2261.459790590617,845.1656305057613,138.7055999485414,0.0,7.046160445870632,28.668000000000006,1923.2665404633924,555.592955145144,171.71065438676655,79.31093397188026,15.58531813845005,29.052000000000003,78,15,0,47,18,8,3,81.7,1
H. Reed,Fulham - Brighton,34.65977124613183,54.49486448883054,20.51307673812952,6.793607040805006,1.480206232156246,0.0365813323743084,8617.88,1825.6,320.77,49.09,0.0,6.93,0,2,1,4,0,2,10743.086430561612,3156.1187696727648,4962.302360352909,1867.9207677740735,618.6258571357039,134.78757950014776,3.331096126004524,7.116791785635845,30.12,1249.9707125310156,324.056814202497,112.76029282904676,47.13775967111639,17.832855806223314,30.276,65,12,1,28,9,5,3,48.9,1
H. Reed,Tottenham - Fulham,33.62936131495317,47.36281936160752,19.24403324878278,7.776990389506061,1.2033997922499111,0.0,9008.51,1771.17,418.22,68.59,0.0,8.03,2,0,1,4,0,2,11195.430031671887,3447.2337305248,4855.004736693849,1972.641701555227,797.193361526968,123.3565013708976,0.0,6.589699986992716,29.42400000000001,1594.0157205054709,494.6727144306008,123.29127086109766,60.37243955484117,28.82603807464049,29.556000000000004,71,14,0,40,10,7,2,63.1,1
H. Reed,Nottingham Forest - Fulham,33.505084779259406,53.875021929496505,19.760527333763925,7.116413986220054,2.3649249049047247,0.0,8822.35,2052.28,473.06,107.89,3.8,7.55,1,1,1,15,3,2,11399.40911435412,3275.010353556676,5266.103810201852,1931.5256784509777,695.6057457730562,231.1635263714205,0.0,7.024471149911336,29.256,1595.5749258724877,496.0526170407668,218.7452628357709,110.36896393362154,28.47681838751062,29.736,82,19,0,40,17,12,4,80.30000000000001,-1
H. Reed,Fulham - Newcastle,34.33766606443549,45.89134131899532,19.296105040453305,6.513894666494234,2.0231844531348684,0.2666886837051722,8261.18,1902.67,394.65,69.51,0.0,7.66,1,2,2,5,0,2,10575.065287781194,3352.042961210193,4479.912739560324,1883.685774049052,635.8863973431672,197.50326631502588,26.03414930329892,6.542921327596805,32.04,1016.7452067228096,298.46377597234056,90.17587067058872,37.47719819408942,20.956535443082146,32.25600000000001,62,17,1,22,6,2,1,32.7,1
H. Reed,West Ham - Fulham,35.834903093809025,49.62083349984391,21.54131150939824,6.83571237263093,2.604713628267417,0.3564274056446512,6839.59,1445.77,273.8,47.86,0.0,8.64,2,0,0,4,0,3,8554.374659567822,2624.6677522675527,3634.395248306901,1577.7574593200254,500.6703598793981,190.77790851306656,26.10593128076641,7.049730487416376,32.748000000000005,783.3931235814372,237.44745518410875,86.55702345083766,31.08107166544155,12.54137567896306,32.904,47,12,2,12,6,3,1,24.0,-1
H. Reed,Fulham - Aston Villa,35.09270416290491,45.26983755727935,20.770849217807385,8.027672718501318,1.910845433289461,0.4517622383760978,6209.51,1557.4,407.96,91.26,0.99,7.56,2,1,1,9,1,3,8216.692357887718,2585.513467042291,3335.3307317618182,1530.326934203989,591.4521669901155,140.7847220399899,33.28433584942297,6.737635434103969,32.208000000000006,920.9052812982296,225.50709643298492,104.877938623426,57.82061472587088,26.51358997453513,32.292,65,13,1,17,7,5,1,32.7,-1
H. Reed,Leeds - Fulham,35.12796350169879,46.64615266695924,20.05953228574684,7.436437296373266,1.6445875785446964,0.283878408722794,8191.67,1896.64,461.59,97.9,2.25,7.32,2,0,0,6,0,2,10580.171536035958,3342.3086339749675,4438.225939085615,1908.597631881193,707.552220625595,156.47702613993272,27.010084328611445,6.715591017376683,30.972,1302.8537637653092,350.2197672962553,126.71189441841804,104.30826317431404,48.48004483428923,31.068000000000005,78,13,3,26,6,5,4,45.1,1
H. Reed,Fulham - Everton,35.55605943989462,52.6421720351504,20.28718956845253,7.49913116226307,2.5635554527964097,0.1640893944975243,8686.42,1961.3,499.18,79.34,0.0,7.75,1,2,0,3,0,2,11161.716474251827,3343.099228737025,4949.592488651624,1907.469187191135,705.0933089798481,241.0340288567611,15.428231835305562,7.164960825327047,31.212000000000007,1297.4474458414709,435.54234513319193,175.10145512484794,69.599150679596,18.753114535796787,31.284,67,15,1,30,12,7,1,53.8,1
Alisson,Fulham - Liverpool,40.97111839431259,7.769677642946011,0.7006287889016556,0.5481690657789524,0.0575890727434681,0.0,4547.5,323.42,57.34,15.55,0.0,8.18,2,1,1,1,0,2,4883.770937637001,3998.0983033116704,758.1910433241482,68.36969265031989,53.49216466892944,5.619733681883436,0.0,2.999225277540564,25.440000000000005,118.9710703158365,66.62508889646546,40.58318306210527,29.500308096500103,16.56022646198065,25.632,5,1,0,6,5,3,2,18.4,1
Alisson,Liverpool - Crystal Palace,47.61234082031267,10.772966144799147,0.883406499468662,0.2558150990673896,0.0,0.0,5505.4,383.29,68.52,4.37,0.0,7.77,2,1,0,0,0,2,5899.277610847926,4718.700390898454,1067.6727647238945,87.55147347400754,25.3529817515721,0.0,0.0,3.569547558186467,21.99600000000001,231.24400432171012,77.47111149950841,43.67874844420476,30.853324959092184,9.529057759175156,22.176,6,0,0,9,5,6,3,26.8,-1
Alisson,Manchester United - Liverpool,48.52602656003661,11.407250794329682,1.9619319938471296,0.7259553443544866,0.2450001835792211,0.0,5514.55,447.81,127.19,31.99,1.59,7.95,2,1,0,3,1,2,6063.441602304397,4680.335261715532,1100.229339113098,189.22834080655565,70.01839296299023,23.63026770621588,0.0,3.770730948678073,28.308000000000003,165.88043116741315,52.29704901774827,27.697116508845657,19.509554829447943,10.76777536772338,28.548,10,3,0,8,3,3,2,18.200000000000003,-1
